Drug Name,Problem,Agents,Age Restrictions,Tablet/ Injection/Syrup/ Cream,Usage,Side effects,Safety Advice,Interaction with drugs,Remarks
Ondansetron Injection IP 2mg/ml 2ml amp,stomach upset,antiemetic medicine,12,injection,"Ondansetron is a medication used to prevent nausea during chemotherapy, given by injection into a vein over 15 minutes. It is prescribed for older adults and may be given a second or third dose. Regular use is advised, and proper storage and disposal are crucial","headache, fever, dizziness, drowsiness, tiredness, constipation, or redness at injection site","Before using ondansetron, inform your doctor or pharmacist about any allergies, medical history, and potential QT prolongation risks. Consider your medical conditions, family history, and low potassium or magnesium levels. Consult your doctor about using ondansetron safely and discuss any other medications or conditions.",Apomorphine and tramadol ,
Ondansetron Syrup IP 2mg/5ml in 30 ml bottle,nausea,antiemetic medicine,4,Syrup,"Ondansetron is a medication dissolved on the tongue, not meant for chewing or swallowing. It is taken to prevent nausea from chemotherapy, radiation, and surgery. It can be taken with or without food, and can be taken up to three times a day."," headache, lightheadedness, dizziness, drowsiness, tiredness, or constipation","Before using ondansetron, inform your doctor or pharmacist about any allergies, medical history, and potential QT prolongation risks. Consider your medical conditions, family history, and low potassium or magnesium levels. Consult your doctor about using ondansetron safely and discuss any other medications or conditions.",Apomorphine and tramadol ,
Ondansetron Syrup IP 2mg/5ml in 30 ml bottle,vomiting,antiemetic medicine,4,Syrup,"Ondansetron is a medication dissolved on the tongue, not meant for chewing or swallowing. It is taken to prevent nausea from chemotherapy, radiation, and surgery. It can be taken with or without food, and can be taken up to three times a day."," headache, lightheadedness, dizziness, drowsiness, tiredness, or constipation","Before using ondansetron, inform your doctor or pharmacist about any allergies, medical history, and potential QT prolongation risks. Consider your medical conditions, family history, and low potassium or magnesium levels. Consult your doctor about using ondansetron safely and discuss any other medications or conditions.",Apomorphine and tramadol ,
Ondansetron Tablets IP 4 mg,vomiting,antiemetic medicine,4,Tablet,"Before using ondansetron, inform your doctor or pharmacist about any allergies, medical history, and potential QT prolongation risks. Consider your medical conditions, family history, and low potassium or magnesium levels. Consult your doctor about using ondansetron safely and discuss any other medications or conditions."," headache, lightheadedness, dizziness, drowsiness, tiredness, or constipation.","Before taking ondansetron, inform your doctor or pharmacist about any allergies, medical history, and any heart conditions or medications that may cause QT prolongation, as this medication may cause serious symptoms and require immediate medical attention.",Apomorphine and tramadol ,
Ondansetron Tablets IP 4 mg,nausea,antiemetic medicine,4,Tablet,"Before using ondansetron, inform your doctor or pharmacist about any allergies, medical history, and potential QT prolongation risks. Consider your medical conditions, family history, and low potassium or magnesium levels. Consult your doctor about using ondansetron safely and discuss any other medications or conditions."," headache, lightheadedness, dizziness, drowsiness, tiredness, or constipation.","Before taking ondansetron, inform your doctor or pharmacist about any allergies, medical history, and any heart conditions or medications that may cause QT prolongation, as this medication may cause serious symptoms and require immediate medical attention.",Apomorphine and tramadol ,
Oral Rehydration Salts IP (ORS),vomiting, causative agent,2,liquid solution,"Follow doctor's instructions for taking this product, mix liquid forms, shake suspensions, dissolve powdered forms in water, and avoid heating unless indicated on the product package.",cause mild nausea and vomiting,"Consult your doctor or pharmacist if allergic, have health problems, or are pregnant before using this product, including prescription drugs, nonprescription drugs, and herbal products.",pottassium,full course as prescribed
Oral Rehydration Salts IP (ORS),dehydration, causative agent,2,liquid solution,"Follow doctor's instructions for taking this product, mix liquid forms, shake suspensions, dissolve powdered forms in water, and avoid heating unless indicated on the product package.",cause mild nausea and vomiting,"Consult your doctor or pharmacist if allergic, have health problems, or are pregnant before using this product, including prescription drugs, nonprescription drugs, and herbal products.",pottassium,full course as prescribed
Paracetamol Syrup 250 mg/5ml,bodypains,reducing agents,B12,Syrup,"Follow product directions, consult doctor or pharmacist for questions, and use appropriate product for children. Use weight and age for suspensions. Shake medication before use and use appropriate measuring tools.",no side effects,"Acknowledge allergies, medical history, and pregnancies before using acetaminophen, as it may contain inactive ingredients, and may contain sugar or aspartame, requiring caution.","ketoconazole, levoketoconazole",
Paracetamol Syrup 250 mg/5ml,headache,reducing agents,B12,Syrup,"Follow product directions, consult doctor or pharmacist for questions, and use appropriate product for children. Use weight and age for suspensions. Shake medication before use and use appropriate measuring tools.",no side effects,"Acknowledge allergies, medical history, and pregnancies before using acetaminophen, as it may contain inactive ingredients, and may contain sugar or aspartame, requiring caution.","ketoconazole, levoketoconazole",
Paracetamol Syrup 250 mg/5ml,Fever,reducing agents,B12,Syrup,"Follow product directions, consult doctor or pharmacist for questions, and use appropriate product for children. Use weight and age for suspensions. Shake medication before use and use appropriate measuring tools.",no side effects,"Acknowledge allergies, medical history, and pregnancies before using acetaminophen, as it may contain inactive ingredients, and may contain sugar or aspartame, requiring caution.","ketoconazole, levoketoconazole",
Paracetamol Tablets IP 500mg,Fever, antipyretic agent,2,Tablet,"Take Genericart Paracetamol 500mg Tablet with food, following doctor's advice, swallowing whole, and avoid chewing, crushing, or breaking.","Stomach pain,Nausea,Vomiting","Genericart Paracetamol 500mg Tablet is unsafe to consume during pregnancy, breastfeeding, driving, and in patients with kidney or liver disease. Consult a doctor before use, as limited studies show potential risks. Dose adjustment may be needed."," ibuprofen, aspirin or codeine",
Paracetamol Tablets IP 500mg,bodypains, antipyretic agent,2,Tablet,"Take Genericart Paracetamol 500mg Tablet with food, following doctor's advice, swallowing whole, and avoid chewing, crushing, or breaking.","Stomach pain,Nausea,Vomiting","Genericart Paracetamol 500mg Tablet is unsafe to consume during pregnancy, breastfeeding, driving, and in patients with kidney or liver disease. Consult a doctor before use, as limited studies show potential risks. Dose adjustment may be needed."," ibuprofen, aspirin or codeine",Proper medical supervision
Paracetamol Tablets IP 500mg,headache, antipyretic agent,2,Tablet,"Take Genericart Paracetamol 500mg Tablet with food, following doctor's advice, swallowing whole, and avoid chewing, crushing, or breaking.","Stomach pain,Nausea,Vomiting","Genericart Paracetamol 500mg Tablet is unsafe to consume during pregnancy, breastfeeding, driving, and in patients with kidney or liver disease. Consult a doctor before use, as limited studies show potential risks. Dose adjustment may be needed."," ibuprofen, aspirin or codeine",Proper medical supervision
Pheniramine Maleate Injection IP 22.75 mg,Meniere's disease,antihistamine medication,12,Injection,Kindly follow the instructions provided by your doctor or nurse when taking this medicine.,Sedation,"drowsiness, dizziness, headache, upset stomach, constipation, or trouble sleeping","isocarboxazid, linezolid, metaxalone, methylene blue",
Pheniramine Maleate Injection IP 22.75 mg,itching,antihistamine medication,12,Injection,Kindly follow the instructions provided by your doctor or nurse when taking this medicine.,Sedation,"drowsiness, dizziness, headache, upset stomach, constipation, or trouble sleeping","isocarboxazid, linezolid, metaxalone, methylene blue",
Pheniramine Maleate Injection IP 22.75 mg,Respiratory disease ,antihistamine medication,12,Injection,Kindly follow the instructions provided by your doctor or nurse when taking this medicine.,Sedation,"drowsiness, dizziness, headache, upset stomach, constipation, or trouble sleeping","isocarboxazid, linezolid, metaxalone, methylene blue",
Phenytoin sodium Tablets IP 300mg,Epilepsy ,antiepileptic drug,2,Tablet,"Take the medicine as directed by your doctor, swallowing it whole, not chewing, crushing, or breaking. Eptoin 300 ER Tablet can be taken with or without food.","Headache,Dizziness,Vomiting,Nausea,Altered walking,Nervousness,Vertigo,Slurred speech,Tremors","Before taking phenytoin, inform your doctor about any allergies, medical history, and potential side effects. Limit alcohol and marijuana use, and consult a doctor if you are using these medications.","colesevelam, orlistat, sucralfate.",Proper medical supervision
Phenytoin sodium Tablets IP 300mg,fits,antiepileptic drug,2,Tablet,"Take the medicine as directed by your doctor, swallowing it whole, not chewing, crushing, or breaking. Eptoin 300 ER Tablet can be taken with or without food.","Headache,Dizziness,Vomiting,Nausea,Altered walking,Nervousness,Vertigo,Slurred speech,Tremors","Before taking phenytoin, inform your doctor about any allergies, medical history, and potential side effects. Limit alcohol and marijuana use, and consult a doctor if you are using these medications.","colesevelam, orlistat, sucralfate.",Proper medical supervision
Phenytoin sodium Tablets IP 300mg,seizures,antiepileptic drug,2,Tablet,"Take the medicine as directed by your doctor, swallowing it whole, not chewing, crushing, or breaking. Eptoin 300 ER Tablet can be taken with or without food.","Headache,Dizziness,Vomiting,Nausea,Altered walking,Nervousness,Vertigo,Slurred speech,Tremors","Before taking phenytoin, inform your doctor about any allergies, medical history, and potential side effects. Limit alcohol and marijuana use, and consult a doctor if you are using these medications.","colesevelam, orlistat, sucralfate.",
"Povidone Iodine Ointment USP 5Percentage, 30gm",minor wounds,antiseptic agent,2,Ointment,"Povidone Iodine 5% Solution is a topical antiseptic used to prevent and treat minor wounds and skin infections, killing germs and sanitizing the skin before surgical procedures.",Skin irritation and Redness of skin ,"norflox 400 Tablet is unsafe for consumption during alcohol, pregnancy, breastfeeding, driving, kidney, and liver disease. Consult a doctor for information on pregnancy, breastfeeding, driving, kidney, and liver use.",No Interactions,
"Povidone Iodine Ointment USP 5Percentage, 30gm",skin infections,antiseptic agent,2,Ointment,"Povidone Iodine 5% Solution is a topical antiseptic used to prevent and treat minor wounds and skin infections, killing germs and sanitizing the skin before surgical procedures.",Skin irritation and Redness of skin ,"norflox 400 Tablet is unsafe for consumption during alcohol, pregnancy, breastfeeding, driving, kidney, and liver disease. Consult a doctor for information on pregnancy, breastfeeding, driving, kidney, and liver use.",No Interactions,
Pyridoxine Hcl Tablets IP 25 mg,vitamin B6 deficiency,Vitamin B6,19,Tablet,"Vitamin B6 is essential for controlling seizures, treating sideroblastic anemia, and preventing and treating vitamin B6 deficiency in infants, requiring IV products only from healthcare providers.", leading to brain and nerve problems.,"Vitamin B6 is generally safe when taken appropriately, with doses of 100-200 mg daily being safe. However, high doses can cause brain and nerve problems. It's also safe during pregnancy, breastfeeding, and post-surgical stent placement.",No Interactions,Based on vitamin C deficiency 
Pyridoxine Hcl Tablets IP 5 mg,liver failure,Vitamin B6,12,Tablet,"Take this vitamin by mouth, either with or without food, once daily, following directions on the product package or as directed by your doctor. Swallow extended-release capsules whole, measure doses, and drink immediately.","Headache,Nausea,Drowsiness,numbness/tingling of arms/legs.","Vitamin B6, found in cereals, legumes, and eggs, is essential for proper body function, brain development, and is commonly used to prevent and treat vitamin B6 deficiency, heart disease, and other conditions.",phenytoin,Based on vitamin C deficiency 
Pyridoxine Hcl Tablets IP 5 mg,overactive thyroid,Vitamin B6,12,Tablet,"Take this vitamin by mouth, either with or without food, once daily, following directions on the product package or as directed by your doctor. Swallow extended-release capsules whole, measure doses, and drink immediately.","Headache,Nausea,Drowsiness,numbness/tingling of arms/legs.","Vitamin B6, found in cereals, legumes, and eggs, is essential for proper body function, brain development, and is commonly used to prevent and treat vitamin B6 deficiency, heart disease, and other conditions.",phenytoin,Based on vitamin C deficiency 
Pyridoxine Hcl Tablets IP 5 mg,heart failure,Vitamin B6,12,Tablet,"Take this vitamin by mouth, either with or without food, once daily, following directions on the product package or as directed by your doctor. Swallow extended-release capsules whole, measure doses, and drink immediately.","Headache,Nausea,Drowsiness,numbness/tingling of arms/legs.","Vitamin B6, found in cereals, legumes, and eggs, is essential for proper body function, brain development, and is commonly used to prevent and treat vitamin B6 deficiency, heart disease, and other conditions.",phenytoin,
Ranitidine Hcl (Film Coated) Tablets IP 150 mg,Peptic ulcer disease,anticholinergic agent,12,Tablet,"Take Rantidine 150mg Tablet as directed by your doctor, either with or without food. It may be prescribed four times a day for certain conditions. Follow your doctor's instructions and take it regularly, not increasing or stopping without approval. ","Headache,Diarrhea,Gastrointestinal disturbance","Before taking ranitidine, inform your doctor or pharmacist about any allergies, medical history, and symptoms like heartburn, chest pain, or unexplained weight loss, as they may indicate serious conditions."," itraconazole, ketoconazole",
Ranitidine Hcl (Film Coated) Tablets IP 150 mg,gas problem,anticholinergic agent,12,Tablet,"Take Rantidine 150mg Tablet as directed by your doctor, either with or without food. It may be prescribed four times a day for certain conditions. Follow your doctor's instructions and take it regularly, not increasing or stopping without approval. ","Headache,Diarrhea,Gastrointestinal disturbance","Before taking ranitidine, inform your doctor or pharmacist about any allergies, medical history, and symptoms like heartburn, chest pain, or unexplained weight loss, as they may indicate serious conditions."," itraconazole, ketoconazole",
Salbutamol Nebulising solution IP 15 ml,COPD,receptor agonist ,ALL,liquid,Take the medication as per your doctor's instructions or consult the label for specific directions before use.,"Tremors,Headache,Muscle cramp,Cough,Increased heart rate,Respiratory tract inflammation,Respiratory tract infection","Asthalin Respirator Solution is safe for breastfeeding, but not for alcohol consumption, pregnancy, or breastfeeding, as it does not pass into breastmilk significantly. Consult a doctor for safety advice.","Amoxicillin,Amphetamine",full course as prescribed
Salbutamol Nebulising solution IP 15 ml,Asthma,receptor agonist ,ALL,liquid,Take the medication as per your doctor's instructions or consult the label for specific directions before use.,"Tremors,Headache,Muscle cramp,Cough,Increased heart rate,Respiratory tract inflammation,Respiratory tract infection","Asthalin Respirator Solution is safe for breastfeeding, but not for alcohol consumption, pregnancy, or breastfeeding, as it does not pass into breastmilk significantly. Consult a doctor for safety advice.","Amoxicillin,Amphetamine",full course as prescribed
Salbutamol Sulphate Syrup IP 2 mg,COPD,adrenergic agonist,6,Syrup,"Salbutamol relieves asthma symptoms, chest tightness, wheezing, shortness of breath, and coughing in COPD and other chest diseases, and can prevent asthma symptoms from exercise or allergen exposure.","feeling shaky ,headache,muscle cramps","Avoid using salbutamol if you are allergic to it or its ingredients, pregnant or intending to be pregnant, or breastfeeding unless your doctor agrees.","Corticosteroids,furosemide",
Salbutamol Sulphate Syrup IP 2 mg,asthma,adrenergic agonist,6,Syrup,"Salbutamol relieves asthma symptoms, chest tightness, wheezing, shortness of breath, and coughing in COPD and other chest diseases, and can prevent asthma symptoms from exercise or allergen exposure.","feeling shaky ,headache,muscle cramps","Avoid using salbutamol if you are allergic to it or its ingredients, pregnant or intending to be pregnant, or breastfeeding unless your doctor agrees.","Corticosteroids,furosemide",
Salbutamol Sulphate Tablets IP 2 mg,COPD,adrenergic agonist,2,Tablet,Salbutamol (Alkem) 2 mg Tablet is a bronchodilator medication used to alleviate symptoms of bronchospasm in respiratory diseases like bronchial asthma and COPD.,"Tremors, Headache, Palpitations, Dizziness, Nervousness, Muscle cramp blood, Weakness, Irritability, Drowsiness","Avoid using salbutamol if you are allergic to it or its ingredients, pregnant or intending to be pregnant, or breastfeeding unless your doctor agrees.","Amoxicillin,Amphetamine",
Salbutamol Sulphate Tablets IP 2 mg,Asthma,adrenergic agonist,2,Tablet,Salbutamol (Alkem) 2 mg Tablet is a bronchodilator medication used to alleviate symptoms of bronchospasm in respiratory diseases like bronchial asthma and COPD.,"Tremors, Headache, Palpitations, Dizziness, Nervousness, Muscle cramp blood, Weakness, Irritability, Drowsiness","Avoid using salbutamol if you are allergic to it or its ingredients, pregnant or intending to be pregnant, or breastfeeding unless your doctor agrees.","Amoxicillin,Amphetamine",
"Silver Sulphadiazine Cream USP 1%W/W, 100gms tube",Wound Infection with serious burns,antimicrobial agents,ALL,Cream,"Apply sterile medication to wounds daily, covering with cream. Reapply cream if needed, and continue treatment until healed or ready for skin grafting. Regularly check with doctor if condition worsens.","skin pain, burning, itching and may cause blue/gray skin","Before using silver sulfadiazine, inform your doctor or pharmacist about any allergies, medical history, and any potential side effects. Pregnant women should use it only when needed and not near delivery due to potential harm. Breastfeeding is not recommended.", sodium sulfacetamide skin products or enzyme products.,
Sodium Chloride Injection IP 0.9%in 500ml BFS / FFS,Intravenous Fluid Replacement,Sodium Chloride,ALL,Injection,"This solution, administered via injection, should be prepared and used according to doctor's instructions, and dosage depends on age, weight, medical condition, and treatment response.","Redness,pain,swelling,muscle cramps","Before using this product, inform your doctor about any allergies, medical history, kidney or heart issues, and any medications used. It's safe during pregnancy or breastfeeding.",No Interactions,As per schedule
Sodium Chloride Injection IP 0.9%in 500ml BFS / FFS,Cleaning Wounds,Sodium Chloride,ALL,Injection,"This solution, administered via injection, should be prepared and used according to doctor's instructions, and dosage depends on age, weight, medical condition, and treatment response.","Redness,pain,swelling,muscle cramps","Before using this product, inform your doctor about any allergies, medical history, kidney or heart issues, and any medications used. It's safe during pregnancy or breastfeeding.",No Interactions,As per schedule
Sodium Cromoglycate 2 Percentage Eye Drops,Allergic eye conditions,antimicrobial agents,6,Eye drops,"Wash hands before applying eye drops, avoid contact lenses, and follow doctor's instructions. Use cromolyn 4 times daily, usually 4 times daily, for up to 3 months. Wait 5 minutes before applying other medications. ","Rash,itching,burning of eye","This medication may cause allergic reactions, blur vision, and require medical history before use. Consult pharmacist for details, avoid driving, machinery, and pregnancy. Discuss risks and benefits with doctor.",No Interactions,full course as prescribed
Sodium valporate Tablets IP 200mg,Migrane,Fillers and lubricants,2,Tablet,"Valproate sodium syrup is prescribed by a doctor and should be taken by mouth, with food if needed. Dosage depends on age, weight, and medical condition. Regular use and consult with a doctor for seizures.","Dizziness, Hair loss, Weight gain, Tremors, Hypersensitivity, Liver injury, Infection","Valproate sodium should be prescribed by a doctor or pharmacist if you have allergies, , or have any other health issues.  Pregnant or breastfeeding women should consult their doctor about the drug's potential risks and benefits."," antidepressants, antibiotics, irinotecan, mefloquine, orlistat, seizure medications, vorinostat",
Sodium valporate Tablets IP 200mg,Bipolar disorder,Fillers and lubricants,2,Tablet,"Valproate sodium syrup is prescribed by a doctor and should be taken by mouth, with food if needed. Dosage depends on age, weight, and medical condition. Regular use and consult with a doctor for seizures.","Dizziness, Hair loss, Weight gain, Tremors, Hypersensitivity, Liver injury, Infection","Valproate sodium should be prescribed by a doctor or pharmacist if you have allergies, , or have any other health issues.  Pregnant or breastfeeding women should consult their doctor about the drug's potential risks and benefits."," antidepressants, antibiotics, irinotecan, mefloquine, orlistat, seizure medications, vorinostat",
Surgical Spirit Solution BP in 500ml,muscle pains,methyl salicylate,ALL,Solution,It is prescribed by doctor.Apply by using wool.,"disturbance of lipid and carbohydrate metabolism, disturbance of intracellular respiration.Keep away from flames, do not apply on broken skin.",,No interactions,
Telmisartan Tablets BP 40mg,High blood pressure, angiotensin II receptor blocker ,55,Tablet,"Before taking telmisartan, consult your pharmacist for information. Take daily, based on medical condition and response. Keep taking even if feeling well. Consult a doctor if condition worsens or improves.","Dizziness,lightheadedness,fainting","Telmisartan should be prescribed based on the patient's medical history,  and potential side effects. It may cause dizziness, dehydration, and lightheadedness, so consult a doctor before using potassium supplements or salt substitutes.","lithium,aliskarine",full course as prescribed
Zinc Sulphate Dispersible Tab 20mg,low levels of zinc,sweeteners and flavoring agents,ALL,Tablet,"This product should be taken by mouth, either before or after meals, and should be avoided with food if stomach upsets occur.","Nausea,stomach upset,heart burn","Before using this product, inform your doctor about any allergies, medical history, and any history of low copper levels. Consult your doctor before surgery or breastfeeding.","penicillamine,tetracycline antibiotics",continuous Usage of 14days
Vitamin A and D Therapeutic,skin irritations,anticancer agent,ALL,Cream,"Follow product directions, consult doctor or pharmacist for questions, and shake if needed. Apply to affected areas, clean before use, and consult radiation personnel for radiation skin burns or diaper rash treatment.","Skin infection,itching,rash","Before using this product, consult your doctor or pharmacist if you have allergies, are sensitive to the sun, have acne, or use non-comedogenic products. Inform your doctor or dentist about all your medications before surgery.",No interactions,
Vitamin A and D Therapeutic,dry or rough skin,anticancer agent,ALL,Cream,"Follow product directions, consult doctor or pharmacist for questions, and shake if needed. Apply to affected areas, clean before use, and consult radiation personnel for radiation skin burns or diaper rash treatment.","Skin infection,itching,rash","Before using this product, consult your doctor or pharmacist if you have allergies, are sensitive to the sun, have acne, or use non-comedogenic products. Inform your doctor or dentist about all your medications before surgery.",No interactions,
4FDCs,tuberculosis,anti tuberculer agent,ALL,Tablet,"Swallow the tablet or capsule whole with a glass of water, unless otherwise directed by your healthcare provider.","Dizziness,headache,fatigue","Take the medication exactly as prescribed by your healthcare provider. Follow the recommended dosage, frequency, and duration of treatment.", rifampicin,2nd Strip will be after 2 months of 1st one
Vitamin A Oral Liquid,Treatment of Vitamin A deficiency,antioxidant agent,B5,Syrup,"Vitamin A 100000IU Syrup is a supplement for treating low vitamin A levels, promoting good vision, healthy skin, cell growth, immune system, heart, lungs, kidneys, and other organ function.",No common side effects seen,"Vitamin A 100000IU Syrup is safe to use during pregnancy, breastfeeding, driving, and in patients with kidney or liver disease. However, caution is advised when consuming alcohol with this medication. Studies show low or no risk to the developing baby. Dosage adjustment may not be needed in these patients, and it is recommended to consult a doctor for further information.",Acitretin and Orlistat,Every 6 months
